Prompt,File Name
anime woman in the roof. It is windy. She has dark blue-green hair. The sky is clear and it is a good weather!,11
"Anime art+++, anime+++, japanese anime art, 2d anime woman wearing a mini skirt. she has dark blue-green hair. She is outside. It is windy.",12
"woman wearing a short sweatshirt that exposes her underboobs, underboob style, no nipples. just underboobs",13
"woman with dark blue green hair in red carpet. She's wearing a white golden dress, people in the background are taking photos., blurred background",14
"a dark blue-green haired woman, sitting with cross legs while wearing a loose blouse and a miniskirt. SHe is also wearing a black high-heels sandal. She is in a fancy place doing a photo shoot. The background is white wall. she is sitting in a unique chair while looking at the camera. She looks fancy and the vines is fancy",15
"cinematic shot of a beautiful magical fairy, beautiful face details and long hair, casting colorful magical glowing spells with both hands, colorful magical fairy wings on her back, magical forest in background with glowing mushrooms, hkmagic, super realistic, style of epic cinematic, amazing quality,",16
"photo of a blue-green hair woman leaning against a tree, wearing a deep knitted sweater. Her serene, contemplative expression shows a soft smile and gentle, thoughtful gaze. The background features blurred dappled light and trees with warm, muted tones of burnt orange and reddish brown. Soft, diffused lighting highlights the detailed textures of the sweater and tree bark. The slightly low-angle composition emphasizes her figure, conveying calm, intimacy, and vintage 60s/70s",17
"close-up of Artistic makeup with face jewels and iridescent highlighter, captured under a UV light for a glowing effect. set against a soft, pastel background",18
"wide and low angle, cinematic, fashion photography. dark blue-green hair Woman sitting on floor wearing a oversized pink tshirt showing her cleavage, and pink bikini. The background is a gradient, red, pink and orange, studio setting",19
"cyberpunk, anime, woman holing a gun. She has katana on her back. Angry. slight over-the-shoulder pose. Her back is partially turned to the camera, with her face looking back and angry. Blood in the floor. She is in rooftop. Neon lights, cyberpunk anime",20
"doorbellCam, woman wearing bikini, standing outside the doorbell cam doorbellcam neighborhood background, holding beer.",21
woman with green hair highlights. Wearing a sexy leather jumpsuit next to a sports race car in a race track.,22
"photorealism, surreal portrait of a woman, side view, her head dramatically titled back, wavy dark-blue green hair, dressed leather suit, use a palette of pastel shades to create a serene and otherworldly atmosphere, photorealistic, vibrant hot pink backdrop, vibrant hot pink backdrop, visualize using a camera setup that mimics a large aperture, focusing solely on the silhouette's edge, while a low ISO maintains the richness of color without grain,`",23
"woman long wavy dark blue green hair, wearing an oversized white t-shirt. woman, g-string NIKE Logo, sexy underwear, panty. She is in a slight over-the-shoulder pose. Her back is partially turned to the camera, with her face looking back and smiling. plain white wall background",24
"A high-fashion image of a model wearing a new designer’s pink avant-garde outfit, posed against a simple, contrasting background. Dark blue-green hair.",25
"a woman with curly dark blue green hair, wearing japanese school uniform and miniskirt. Background is plain white wall. her soft shadow in the wall.",26
"Beautiful woman with shoulder-length teal ombré hair, wearing an off-shoulder white flowing dress with a deep neckline and ruffled details. Standing in a modern luxury villa with tall white pillars and a serene reflecting pool. Soft natural lighting enhances her glowing skin and glamorous features. High-fashion editorial style, elegant and serene atmosphere, cinematic composition, summer vibe, ultra-realistic, 4K resolution.",27
doorbellCam woman wearing bikini standing outside the doorbell cam doorbellcam neighborhood background. she is holding beer bottle. ,28
"A woman kneels in shallow water with splashes around her, wearing a wet, lace bodysuit. She gazes confidently at the camera, with loose, damp hair falling over her shoulders. The scene is illuminated by vibrant orange and blue lighting, with water droplets sparkling in the air. The background features blurred warm and cool tones, enhancing the dramatic, vivid atmosphere.",29
"A captivating portrait of a young woman, exuding a friendly yet subtly flirtatious aura. She sits casually at a pristine white desk in her brightly lit bedroom, bathed in the warm glow of natural sunlight streaming through a nearby window. Her pose is relaxed yet alluring; legs slightly crossed at the ankles, one hand gently resting on the desk, the other loosely holding a pen. She wears a snug, brown and beige horizontally striped sweater, accentuating her slender frame, paired with a short blue miniskirt and high-knee brown socks, adding a touch of youthful playfulness. Her hair, styled in a casual half-up, half-down do with soft, natural waves, frames her heart-shaped face; a few loose strands playfully caress her cheeks. Her expression is soft, her lips slightly parted in a gentle smile, her eyes sparkling with mischief. The overall mood is inviting and lighthearted, reminiscent of a candid snapshot. The composition is employing a shallow depth of field",30
